"NULL.","NULL.Name","NULL.POS","NULL.Age","NULL.HT","NULL.WT","NULL.College","NULL.Salary"
"","Carmelo Anthony7","PF","37","6' 7""","238 lbs","Syracuse","$1,669,178"
"","Trevor Ariza1","SF","36","6' 8""","215 lbs","UCLA","$1,669,178"
"","Kent Bazemore9","SF","32","6' 4""","195 lbs","Old Dominion","$1,669,178"
"","Avery Bradley20","PG","31","6' 3""","180 lbs","Texas","$1,669,178"
"","Darren Collison21","PG","34","6' 0""","160 lbs","UCLA","--"
"","Anthony Davis3","PF","28","6' 10""","253 lbs","Kentucky","$35,361,360"
"","Wayne Ellington2","SG","34","6' 4""","207 lbs","North Carolina","$1,669,178"
"","Talen Horton-Tucker5","SG","21","6' 4""","234 lbs","Iowa State","$9,500,000"
"","Dwight Howard39","C","36","6' 10""","265 lbs","--","$1,669,178"
"","Jay Huff30","C","23","7' 1""","240 lbs","Virginia","--"
"","LeBron James6","SF","36","6' 9""","250 lbs","--","$41,180,544"
"","Stanley Johnson14","PF","25","6' 6""","242 lbs","Arizona","--"
"","Jemerrio Jones50","F","26","6' 5""","175 lbs","New Mexico State","--"
"","Mason Jones40","G","23","6' 4""","200 lbs","Arkansas","--"
"","DeAndre Jordan10","C","33","6' 11""","265 lbs","Texas A&M","$1,669,178"
"","Malik Monk11","SG","23","6' 3""","200 lbs","Kentucky","$1,669,178"
"","Kendrick Nunn12","G","26","6' 2""","190 lbs","Oakland","$5,000,000"
"","Austin Reaves15","SG","23","6' 5""","197 lbs","Oklahoma","--"
"","Rajon Rondo4","PG","35","6' 1""","180 lbs","Kentucky","$1,669,178"
"","Russell Westbrook0","PG","33","6' 3""","200 lbs","UCLA","$44,211,146"
